id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401282052,2021,1,regular,2021-09-03T23:00:00.000Z,False,False,False,,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,31.0,7.0,3.0,7.0,14.0,0.4174660802716288,150,Duke,ACC,28.0,0.0,14.0,0.0,14.0,0.5825339197283712,9.9077027741,,
401309541,2021,1,regular,2021-09-03T23:00:00.000Z,False,False,False,,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,35.0,14.0,14.0,7.0,0.0,,2598,St Francis (PA),,15.0,0.0,7.0,0.0,8.0,,,,
401287888,2021,1,regular,2021-09-04T00:00:00.000Z,False,False,False,,3833,Memorial Stadium,2305,Kansas,Big 12,17.0,0.0,7.0,3.0,7.0,0.3566755518023538,233,South Dakota,,14.0,0.0,0.0,7.0,7.0,0.6433244481976462,6.3957990631,,
401309836,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,False,,3726,Folsom Field,38,Colorado,Pac-12,35.0,0.0,14.0,7.0,14.0,0.9987176307726046,2458,Northern Colorado,,7.0,0.0,0.0,7.0,0.0,0.0012823692273954,1.2968987386,,
401310695,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,False,,5388,Canvas Stadium,36,Colorado State,Mountain West,23.0,0.0,10.0,0.0,13.0,,2571,South Dakota State,,42.0,7.0,14.0,14.0,7.0,,,,
401282782,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,True,,3911,Ryan Field,77,Northwestern,Big Ten,21.0,0.0,7.0,0.0,14.0,0.010507843610545,127,Michigan State,Big Ten,38.0,14.0,7.0,7.0,10.0,0.9894921563894548,3.3093457417,,
401327913,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3834,Memorial Stadium,158,Nebraska,Big Ten,52.0,7.0,17.0,14.0,14.0,0.902872753436082,2230,Fordham,,7.0,0.0,7.0,0.0,0.0,0.0971272465639181,1.3091986595,,
401282822,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,6577,SHI Stadium,164,Rutgers,Big Ten,61.0,12.0,14.0,14.0,21.0,0.987692584798006,218,Temple,American Athletic,14.0,0.0,7.0,7.0,0.0,0.0123074152019938,2.508015306,,
401309601,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,10.0,0.0,7.0,3.0,0.0,0.0111107186727791,349,Army,FBS Independents,43.0,14.0,13.0,6.0,10.0,0.9888892813272208,2.2807184063,,
401287889,2021,1,regular,2021-09-04T16:00:00.000Z,False,True,False,,3687,AT&T Stadium,2306,Kansas State,Big 12,24.0,7.0,7.0,0.0,10.0,0.9885480025786976,24,Stanford,Pac-12,7.0,0.0,0.0,0.0,7.0,0.0114519974213024,3.0408518701,,
